Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s1 /builds,7649,13,410,499.4235012027808,237.95849999805796,10146.083399999043,465.2436919858805,42.686990477287914,0.07254946740812432,410,440,490,540,660,710,800,1900,10000,10000,10000
,Aggregated,7649,13,410,499.4235012027808,237.95849999805796,10146.083399999043,465.2436919858805,42.686990477287914,0.07254946740812432,410,440,490,540,660,710,800,1900,10000,10000,10000
