Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s1 /builds,51535,0,120,124.79846542543561,39.91130000031262,536.0408999986248,466.0,245.6014306870943,0.0,120,150,170,180,210,220,240,250,300,410,540
,Aggregated,51535,0,120,124.79846542543561,39.91130000031262,536.0408999986248,466.0,245.6014306870943,0.0,120,150,170,180,210,220,240,250,300,410,540
