Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s1 /builds,16748,0,99,108.54326946499951,42.72560000026715,438.7879999994766,466.0,79.85929420172249,0.0,99,150,150,150,200,200,200,200,230,360,440
,Aggregated,16748,0,99,108.54326946499951,42.72560000026715,438.7879999994766,466.0,79.85929420172249,0.0,99,150,150,150,200,200,200,200,230,360,440
