Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,S0 /health,105830,0,89,90.75901477841926,13.507499999832362,208.86849999988044,15.0,1760.9999132201606,0.0,89,91,92,93,98,100,110,110,160,200,210
,Aggregated,105830,0,89,90.75901477841926,13.507499999832362,208.86849999988044,15.0,1760.9999132201606,0.0,89,91,92,93,98,100,110,110,160,200,210
