Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s1 /builds,60067,0,69,72.12376472606113,39.49389999979758,341.42439999959606,466.0,200.0938121147963,0.0,69,79,86,92,100,110,120,130,160,190,340
,Aggregated,60067,0,69,72.12376472606113,39.49389999979758,341.42439999959606,466.0,200.0938121147963,0.0,69,79,86,92,100,110,120,130,160,190,340
